Registro,Ciudad,Zona,Estacion_del_ano,Trafico_veh_hora,Temp_media_C,Humedad_pct,Viento_km_h,PM25_ug_m3
AIR-001,Quito,Industrial,Invierno,2180,9.9,56.4,6.4,65.1
AIR-002,Cuenca,Céntrica,Verano,874,20.5,70.0,7.6,34.0
AIR-003,Guayaquil,Céntrica,Verano,1577,28.4,72.1,5.0,45.2
AIR-004,Quito,Periurbana,Otoño,532,17.4,78.8,6.4,23.5
AIR-005,Cuenca,Céntrica,Invierno,2140,12.6,65.1,2.6,59.3
AIR-006,Guayaquil,Residencial,Primavera,721,18.0,68.0,8.6,27.5
AIR-007,Cuenca,Residencial,Invierno,482,16.4,59.0,7.5,30.5
AIR-008,Loja,Residencial,Invierno,844,11.3,76.1,14.1,33.0
AIR-009,Manta,Residencial,Primavera,1108,17.8,80.1,13.6,34.0
AIR-010,Loja,Residencial,Otoño,674,21.3,90.2,14.3,27.1
AIR-011,Cuenca,Céntrica,Verano,1223,25.6,72.6,17.4,27.3
AIR-012,Manta,Industrial,Verano,1366,25.1,64.8,10.9,45.1
AIR-013,Quito,Periurbana,Verano,239,26.9,67.9,16.1,14.3
AIR-014,Loja,Residencial,Verano,734,27.0,72.3,7.7,25.5
AIR-015,Loja,Industrial,Verano,1536,26.9,68.1,16.1,43.8
AIR-016,Loja,Céntrica,Invierno,1694,16.3,78.9,13.6,46.1
AIR-017,Loja,Periurbana,Primavera,420,17.0,66.2,10.7,22.9
AIR-018,Guayaquil,Residencial,Invierno,728,12.9,81.3,13.6,31.2
AIR-019,Cuenca,Residencial,Primavera,938,22.7,50.6,6.0,32.8
AIR-020,Quito,Céntrica,Otoño,1755,17.8,56.7,4.9,53.9
AIR-021,Cuenca,Residencial,Primavera,922,16.8,54.9,13.9,34.1
AIR-022,Manta,Periurbana,Verano,449,24.1,51.7,20.1,15.1
AIR-023,Cuenca,Industrial,Verano,1174,28.7,61.1,5.5,41.3
AIR-024,Loja,Industrial,Invierno,1426,13.5,60.4,5.6,53.8
AIR-025,Cuenca,Residencial,Verano,847,24.9,69.9,14.7,26.4
AIR-026,Guayaquil,Industrial,Invierno,939,18.4,54.4,16.0,42.8
AIR-027,Loja,Residencial,Primavera,625,18.3,81.4,10.0,28.1
AIR-028,Quito,Residencial,Primavera,622,25.8,50.7,12.7,26.7
AIR-029,Quito,Residencial,Verano,645,26.9,56.0,12.0,20.7
AIR-030,Loja,Residencial,Invierno,534,15.0,69.3,14.0,32.3
AIR-031,Manta,Industrial,Invierno,1358,16.1,72.2,7.3,47.3
AIR-032,Quito,Residencial,Primavera,618,12.7,63.2,10.5,29.8
AIR-033,Guayaquil,Residencial,Primavera,705,19.0,82.3,8.5,20.8
AIR-034,Manta,Céntrica,Invierno,2367,12.8,93.9,12.4,56.7
AIR-035,Loja,Periurbana,Primavera,262,20.0,57.6,16.6,18.6
AIR-036,Quito,Residencial,Otoño,770,14.9,41.6,7.2,32.4
AIR-037,Loja,Residencial,Invierno,801,12.4,59.9,4.0,40.6
AIR-038,Manta,Periurbana,Verano,416,26.2,73.4,11.6,20.2
AIR-039,Cuenca,Industrial,Invierno,1766,17.5,51.7,5.5,59.1
AIR-040,Manta,Periurbana,Primavera,438,19.2,70.7,8.8,24.4
AIR-041,Cuenca,Periurbana,Invierno,504,15.9,73.5,7.3,32.2
