Estudiante,Carrera,Jornada,Beca,Horas_estudio_sem,Asistencia_pct,Horas_pantalla_dia,Puntaje_final
EST-001,Economía,Vespertina,No,3.6,86.1,3.8,52.5
EST-002,Enfermería,Diurna,No,14.5,75.3,1.8,67.3
EST-003,Enfermería,Diurna,Sí,11.3,95.0,1.2,78.3
EST-004,Ingeniería,Vespertina,No,10.0,92.2,4.8,50.6
EST-005,Economía,Diurna,No,12.4,94.2,1.9,67.2
EST-006,Ingeniería,Diurna,Sí,8.3,62.2,4.0,55.4
EST-007,Enfermería,Diurna,No,20.4,93.7,6.2,77.1
EST-008,Economía,Diurna,Sí,13.2,73.4,3.5,66.8
EST-009,Biología,Diurna,No,11.1,76.8,6.4,50.9
EST-010,Enfermería,Diurna,Sí,14.8,67.0,3.9,72.2
EST-011,Ingeniería,Vespertina,No,5.8,88.7,3.5,56.4
EST-012,Economía,Diurna,Sí,4.4,90.8,3.3,60.2
EST-013,Economía,Vespertina,Sí,4.9,68.6,3.7,52.7
EST-014,Enfermería,Vespertina,Sí,14.8,70.4,5.4,70.2
EST-015,Enfermería,Diurna,Sí,18.2,81.4,5.6,79.1
EST-016,Economía,Vespertina,No,10.1,91.6,3.4,59.7
EST-017,Economía,Vespertina,Sí,7.0,94.8,4.1,62.5
EST-018,Biología,Vespertina,No,4.4,93.6,4.4,54.8
EST-019,Enfermería,Vespertina,Sí,14.5,85.8,2.9,75.2
EST-020,Ingeniería,Vespertina,No,12.1,71.8,2.8,60.0
EST-021,Ingeniería,Diurna,No,9.7,79.6,4.5,44.3
EST-022,Biología,Vespertina,Sí,6.1,90.7,4.4,55.2
EST-023,Biología,Diurna,No,12.0,72.8,3.4,59.0
EST-024,Enfermería,Diurna,Sí,10.6,81.0,3.1,66.2
EST-025,Ingeniería,Diurna,No,7.5,82.6,6.6,56.8
EST-026,Enfermería,Vespertina,Sí,13.2,82.1,1.9,79.6
EST-027,Ingeniería,Vespertina,Sí,11.0,89.0,4.2,69.2
EST-028,Enfermería,Diurna,No,7.3,71.9,3.8,48.3
EST-029,Biología,Diurna,No,9.4,81.5,5.4,59.2
EST-030,Ingeniería,Vespertina,No,12.3,91.4,5.5,58.6
EST-031,Ingeniería,Diurna,No,13.1,69.5,5.9,44.8
EST-032,Economía,Diurna,No,13.1,88.1,5.4,60.7
EST-033,Enfermería,Vespertina,Sí,6.5,87.9,4.5,57.4
EST-034,Ingeniería,Diurna,No,10.4,77.3,5.7,40.0
EST-035,Economía,Diurna,Sí,9.2,82.0,5.1,45.5
EST-036,Biología,Diurna,No,8.1,84.4,3.4,66.8
EST-037,Biología,Vespertina,No,17.4,76.7,5.0,64.7
EST-038,Ingeniería,Diurna,No,6.1,65.8,4.6,41.6
EST-039,Economía,Vespertina,No,6.1,89.2,3.0,63.7
EST-040,Ingeniería,Diurna,Sí,9.7,67.8,3.3,53.8
EST-041,Ingeniería,Diurna,No,14.8,69.1,2.7,66.6
EST-042,Ingeniería,Vespertina,Sí,10.5,83.0,4.0,61.2
EST-043,Ingeniería,Diurna,Sí,15.7,63.7,4.6,71.3
EST-044,Economía,Diurna,No,17.1,78.1,5.3,65.1
EST-045,Ingeniería,Diurna,No,20.5,96.6,3.9,78.6
EST-046,Ingeniería,Diurna,No,13.9,93.4,3.8,65.0
EST-047,Economía,Vespertina,No,8.7,80.3,3.9,55.4
EST-048,Biología,Diurna,Sí,11.9,88.3,5.7,60.6
EST-049,Enfermería,Diurna,No,11.5,85.7,2.9,68.3
EST-050,Biología,Vespertina,Sí,9.0,67.6,3.4,56.6
EST-051,Enfermería,Vespertina,No,9.0,66.9,5.0,54.5
EST-052,Biología,Diurna,No,15.5,98.1,3.2,75.9
EST-053,Ingeniería,Vespertina,No,5.0,94.5,3.3,59.5
EST-054,Biología,Diurna,No,8.3,76.2,4.3,50.8
EST-055,Ingeniería,Vespertina,Sí,5.6,80.7,3.3,56.6
EST-056,Enfermería,Diurna,No,14.8,89.0,2.5,73.4
EST-057,Biología,Diurna,Sí,25.4,83.0,4.8,78.5
EST-058,Biología,Diurna,Sí,22.9,83.6,3.1,77.9
EST-059,Economía,Vespertina,No,7.6,84.9,4.0,50.1
EST-060,Biología,Diurna,Sí,16.2,67.5,5.8,58.4
EST-061,Economía,Vespertina,No,11.0,82.1,3.9,61.2
EST-062,Enfermería,Vespertina,Sí,8.1,83.4,3.3,58.8
EST-063,Economía,Vespertina,Sí,10.1,84.0,3.8,65.3
EST-064,Enfermería,Diurna,No,18.4,65.0,3.3,67.3
EST-065,Ingeniería,Vespertina,No,14.7,65.1,3.3,54.4
EST-066,Enfermería,Vespertina,No,3.8,85.8,4.1,49.6
EST-067,Biología,Diurna,Sí,15.2,76.3,6.4,64.6
EST-068,Biología,Diurna,No,18.1,82.2,6.9,86.2
EST-069,Economía,Diurna,No,11.6,81.6,3.2,55.7
EST-070,Biología,Vespertina,Sí,5.3,83.2,4.7,52.5
EST-071,Economía,Diurna,No,16.3,85.1,5.4,69.7
EST-072,Economía,Vespertina,No,13.6,90.7,4.3,71.7
EST-073,Ingeniería,Vespertina,No,10.6,83.2,6.1,63.5
EST-074,Economía,Diurna,Sí,19.2,86.8,2.5,88.6
EST-075,Ingeniería,Diurna,No,8.4,79.7,4.3,55.3
EST-076,Enfermería,Diurna,No,18.5,96.1,5.2,84.0
EST-077,Ingeniería,Vespertina,Sí,9.5,95.0,6.7,51.9
EST-078,Enfermería,Vespertina,No,16.4,86.6,6.9,70.5
EST-079,Ingeniería,Vespertina,No,18.4,83.0,7.1,51.5
EST-080,Enfermería,Diurna,Sí,12.1,70.4,3.4,51.6
EST-081,Economía,Diurna,Sí,10.8,66.9,5.8,57.9
EST-082,Economía,Vespertina,No,10.2,75.2,4.3,55.3
EST-083,Biología,Vespertina,No,9.8,77.0,2.6,50.6
EST-084,Biología,Diurna,No,10.0,68.6,1.4,58.0
EST-085,Biología,Diurna,No,13.6,81.9,5.7,70.8
