Parcela,Region,Variedad,Riego,Riego_mm,Fertilizante_kg_ha,Temp_media_C,Horas_sol,Rendimiento_ton_ha
P-001,Norte,Sembra,Gravedad,368.0,153.3,17.7,10.63,6.37
P-002,Litoral,Aurora,Gravedad,601.8,209.2,21.3,7.21,7.39
P-003,Litoral,Kirán,Aspersión,527.3,201.5,25.4,8.48,7.03
P-004,Norte,Aurora,Gravedad,356.2,196.2,16.3,7.74,7.01
P-005,Sur,Sembra,Goteo,357.3,191.6,20.9,8.87,7.2
P-006,Norte,Sembra,Goteo,358.0,187.2,15.3,7.04,7.36
P-007,Sur,Sembra,Aspersión,520.1,92.6,23.8,5.7,5.46
P-008,Sur,Aurora,Gravedad,597.1,168.7,22.9,6.37,6.81
P-009,Norte,Aurora,Gravedad,432.4,202.9,14.8,8.15,7.11
P-010,Litoral,Sembra,Aspersión,674.0,86.9,24.3,7.63,5.47
P-011,Norte,Aurora,Aspersión,413.9,163.1,16.7,6.82,6.29
P-012,Centro,Kirán,Gravedad,532.2,130.7,22.4,7.59,6.01
P-013,Norte,Kirán,Aspersión,360.7,165.5,19.6,7.11,5.94
P-014,Centro,Sembra,Gravedad,493.7,121.4,21.8,6.14,6.17
P-015,Sur,Sembra,Aspersión,554.3,128.2,25.0,6.83,5.98
P-016,Norte,Sembra,Goteo,389.5,154.5,16.8,8.43,6.56
P-017,Sur,Sembra,Aspersión,454.3,153.2,22.5,8.46,6.46
P-018,Sur,Sembra,Goteo,502.8,131.6,23.2,8.41,6.27
P-019,Litoral,Sembra,Gravedad,620.7,167.6,24.6,8.82,7.62
P-020,Centro,Aurora,Aspersión,482.5,195.1,19.4,8.22,6.79
P-021,Centro,Kirán,Aspersión,531.7,113.4,20.5,6.54,5.13
P-022,Litoral,Aurora,Aspersión,617.6,135.2,22.6,7.72,6.19
P-023,Norte,Aurora,Gravedad,502.4,139.0,17.6,9.17,6.79
P-024,Centro,Kirán,Gravedad,371.9,184.1,17.1,8.82,5.92
P-025,Sur,Aurora,Aspersión,427.4,136.1,20.0,6.51,5.6
P-026,Litoral,Aurora,Goteo,579.7,202.4,23.3,8.7,7.64
P-027,Litoral,Aurora,Gravedad,588.1,196.4,27.3,7.46,7.29
P-028,Norte,Kirán,Gravedad,332.5,122.6,19.2,6.95,4.91
P-029,Norte,Sembra,Goteo,401.4,121.8,15.6,4.44,5.28
P-030,Centro,Kirán,Goteo,360.5,158.5,16.5,7.6,5.83
P-031,Norte,Kirán,Gravedad,505.6,183.0,17.5,6.51,6.03
P-032,Centro,Sembra,Goteo,499.0,221.7,17.6,6.19,7.44
P-033,Litoral,Aurora,Goteo,613.6,114.5,25.3,7.61,5.36
P-034,Centro,Sembra,Goteo,521.1,189.0,18.0,7.77,7.78
P-035,Sur,Aurora,Aspersión,522.2,139.7,22.3,6.36,6.1
P-036,Sur,Aurora,Gravedad,459.4,234.1,22.1,8.89,7.85
P-037,Norte,Aurora,Goteo,356.9,190.2,14.3,6.51,6.78
P-038,Litoral,Kirán,Gravedad,635.9,135.5,21.9,7.02,5.77
P-039,Norte,Kirán,Gravedad,391.6,134.4,15.6,6.78,5.47
P-040,Centro,Aurora,Gravedad,534.6,144.5,18.8,6.5,5.91
P-041,Sur,Sembra,Aspersión,517.5,173.1,22.0,6.08,6.85
P-042,Norte,Kirán,Aspersión,338.7,129.2,14.6,7.66,5.16
P-043,Norte,Aurora,Aspersión,269.8,125.3,16.2,7.48,5.2
P-044,Sur,Aurora,Gravedad,488.1,115.2,21.6,7.21,5.3
P-045,Litoral,Sembra,Aspersión,597.1,139.4,21.2,7.69,6.34
P-046,Sur,Kirán,Gravedad,404.4,134.0,26.9,8.67,5.87
P-047,Norte,Sembra,Goteo,349.7,158.5,20.8,7.07,6.37
P-048,Litoral,Kirán,Goteo,535.5,145.9,24.7,7.95,5.93
P-049,Norte,Aurora,Goteo,448.4,119.5,16.7,6.71,5.75
P-050,Litoral,Sembra,Gravedad,642.8,149.7,19.8,7.92,6.96
P-051,Norte,Kirán,Aspersión,468.0,165.6,19.4,8.11,6.33
P-052,Litoral,Sembra,Aspersión,676.3,134.1,25.7,6.63,6.03
P-053,Norte,Aurora,Aspersión,356.3,113.5,16.4,6.24,5.0
P-054,Litoral,Kirán,Goteo,680.9,185.0,26.2,7.77,6.93
P-055,Sur,Aurora,Gravedad,436.3,139.5,23.1,7.02,6.11
