Sucursal,Ciudad,Categoria,Canal,Inversion_publicidad_kUSD,Precio_medio_USD,Visitas_miles,Ventas_kUSD
SUC-001,Quito,Tecnología,Tienda física,29.6,248.25,16.07,108.0
SUC-002,Quito,Vestuario,Online,56.0,56.51,23.22,194.08
SUC-003,Manta,Vestuario,Tienda física,20.5,58.88,13.82,81.22
SUC-004,Cuenca,Alimentos,Tienda física,35.5,26.25,24.39,147.64
SUC-005,Guayaquil,Alimentos,Online,19.9,22.4,7.54,101.15
SUC-006,Cuenca,Vestuario,Tienda física,98.4,46.21,39.09,287.54
SUC-007,Cuenca,Hogar,Mixto,64.3,115.32,21.78,205.67
SUC-008,Quito,Tecnología,Mixto,47.7,195.28,25.8,205.92
SUC-009,Guayaquil,Hogar,Tienda física,42.8,127.21,20.82,162.04
SUC-010,Quito,Hogar,Online,62.1,105.89,28.84,222.38
SUC-011,Cuenca,Hogar,Mixto,56.7,87.98,30.96,210.75
SUC-012,Quito,Hogar,Tienda física,45.0,90.69,22.78,173.27
SUC-013,Cuenca,Vestuario,Mixto,32.5,43.22,14.03,129.08
SUC-014,Cuenca,Tecnología,Tienda física,41.9,342.53,21.22,168.72
SUC-015,Guayaquil,Tecnología,Tienda física,85.8,221.67,32.08,277.34
SUC-016,Guayaquil,Hogar,Tienda física,53.1,126.01,28.46,194.1
SUC-017,Manta,Hogar,Mixto,53.0,79.0,22.82,202.31
SUC-018,Manta,Hogar,Mixto,47.0,103.42,20.35,173.54
SUC-019,Cuenca,Vestuario,Mixto,39.8,57.7,18.67,173.15
SUC-020,Quito,Tecnología,Mixto,34.8,340.48,21.35,151.32
SUC-021,Cuenca,Vestuario,Online,8.7,68.96,10.91,84.97
SUC-022,Manta,Hogar,Online,50.6,116.4,24.92,186.89
SUC-023,Loja,Vestuario,Tienda física,33.4,39.47,19.13,119.2
SUC-024,Guayaquil,Alimentos,Online,57.5,21.82,20.89,208.38
SUC-025,Manta,Tecnología,Tienda física,63.8,299.47,28.58,198.23
SUC-026,Quito,Hogar,Mixto,26.4,125.64,14.47,128.56
SUC-027,Quito,Alimentos,Online,48.6,19.68,21.72,158.94
SUC-028,Cuenca,Hogar,Tienda física,34.5,95.23,21.6,144.17
SUC-029,Manta,Hogar,Tienda física,16.9,70.52,7.73,78.08
SUC-030,Manta,Tecnología,Online,67.4,348.32,31.51,236.99
SUC-031,Cuenca,Vestuario,Tienda física,35.0,52.66,21.56,145.56
SUC-032,Cuenca,Alimentos,Tienda física,39.5,23.99,19.32,123.91
SUC-033,Guayaquil,Tecnología,Online,63.9,336.17,28.84,242.96
SUC-034,Manta,Vestuario,Mixto,47.7,55.55,17.89,161.36
SUC-035,Quito,Tecnología,Tienda física,59.1,347.91,31.52,238.68
SUC-036,Loja,Vestuario,Tienda física,65.3,46.47,27.18,206.26
SUC-037,Loja,Vestuario,Tienda física,44.5,44.96,28.33,159.1
SUC-038,Quito,Alimentos,Online,26.9,19.86,16.01,125.23
SUC-039,Quito,Vestuario,Tienda física,27.6,70.47,21.93,125.84
SUC-040,Manta,Alimentos,Tienda física,39.5,18.37,17.43,127.76
SUC-041,Loja,Vestuario,Online,68.7,59.37,30.34,251.36
SUC-042,Loja,Tecnología,Mixto,9.2,362.24,8.44,66.95
SUC-043,Guayaquil,Alimentos,Online,63.2,18.67,32.57,257.01
SUC-044,Loja,Hogar,Mixto,26.4,127.7,15.53,133.8
SUC-045,Guayaquil,Vestuario,Tienda física,41.8,60.56,21.39,171.74
SUC-046,Quito,Vestuario,Online,47.2,22.28,27.56,210.25
SUC-047,Quito,Tecnología,Tienda física,20.6,379.97,9.48,87.65
SUC-048,Manta,Vestuario,Tienda física,48.3,63.48,21.28,156.43
SUC-049,Cuenca,Alimentos,Online,61.2,17.12,29.53,205.69
SUC-050,Quito,Vestuario,Mixto,65.1,50.25,29.93,244.93
SUC-051,Loja,Vestuario,Mixto,29.4,45.75,17.86,121.68
SUC-052,Loja,Vestuario,Mixto,42.0,45.46,22.55,148.42
SUC-053,Manta,Alimentos,Mixto,53.4,13.33,25.03,216.32
SUC-054,Manta,Vestuario,Tienda física,71.2,56.82,28.48,212.03
SUC-055,Guayaquil,Vestuario,Online,41.2,46.07,22.18,172.44
SUC-056,Cuenca,Tecnología,Mixto,48.8,448.46,27.82,201.46
SUC-057,Quito,Tecnología,Online,37.5,262.93,27.03,170.34
SUC-058,Manta,Alimentos,Tienda física,63.8,17.63,32.87,226.98
SUC-059,Quito,Alimentos,Tienda física,69.0,11.98,35.67,239.69
SUC-060,Cuenca,Alimentos,Tienda física,36.8,31.75,17.5,127.77
SUC-061,Guayaquil,Alimentos,Online,52.3,18.27,28.11,218.86
SUC-062,Manta,Alimentos,Online,18.5,13.76,12.56,96.92
SUC-063,Quito,Alimentos,Tienda física,44.4,16.92,25.91,158.67
SUC-064,Cuenca,Vestuario,Tienda física,7.0,49.93,12.53,53.87
SUC-065,Quito,Hogar,Mixto,55.6,104.39,17.15,206.21
SUC-066,Cuenca,Hogar,Mixto,50.7,85.59,24.31,182.55
SUC-067,Guayaquil,Alimentos,Tienda física,54.2,19.29,27.0,211.24
SUC-068,Loja,Tecnología,Mixto,37.5,425.84,18.02,143.82
SUC-069,Cuenca,Alimentos,Mixto,50.8,22.22,26.75,216.98
SUC-070,Quito,Tecnología,Tienda física,20.9,264.08,15.95,93.29
SUC-071,Quito,Tecnología,Mixto,37.5,346.07,21.72,177.98
SUC-072,Quito,Hogar,Tienda física,31.4,120.57,18.31,128.55
SUC-073,Cuenca,Vestuario,Tienda física,64.2,58.63,25.8,221.26
SUC-074,Cuenca,Hogar,Mixto,50.8,113.67,33.11,205.12
SUC-075,Cuenca,Vestuario,Online,30.9,61.44,12.5,102.23
SUC-076,Loja,Hogar,Mixto,64.7,96.13,34.44,231.37
SUC-077,Loja,Vestuario,Mixto,30.1,59.79,11.52,112.31
SUC-078,Cuenca,Hogar,Tienda física,57.5,93.15,35.23,209.75
SUC-079,Cuenca,Vestuario,Mixto,51.5,61.81,24.32,199.57
SUC-080,Manta,Alimentos,Mixto,48.0,15.45,22.05,176.63
SUC-081,Guayaquil,Hogar,Mixto,50.0,111.4,23.62,199.49
SUC-082,Cuenca,Tecnología,Tienda física,45.7,330.71,22.85,156.22
SUC-083,Quito,Tecnología,Tienda física,39.9,327.91,19.52,143.33
SUC-084,Cuenca,Alimentos,Mixto,58.8,21.01,25.69,205.51
SUC-085,Quito,Vestuario,Tienda física,20.8,58.93,12.07,84.42
SUC-086,Manta,Tecnología,Tienda física,53.8,320.65,26.48,213.44
SUC-087,Guayaquil,Hogar,Mixto,44.1,128.01,26.75,222.58
SUC-088,Cuenca,Alimentos,Tienda física,37.0,21.36,20.87,155.22
SUC-089,Cuenca,Tecnología,Tienda física,40.3,290.54,21.09,135.81
SUC-090,Manta,Alimentos,Online,31.9,20.08,19.49,135.37
SUC-091,Guayaquil,Tecnología,Online,56.5,353.99,22.34,211.64
SUC-092,Quito,Alimentos,Online,56.1,17.12,28.22,241.93
SUC-093,Cuenca,Alimentos,Online,31.8,19.14,15.44,120.48
SUC-094,Manta,Tecnología,Tienda física,57.3,473.94,19.76,179.87
SUC-095,Guayaquil,Alimentos,Mixto,31.5,18.85,22.9,161.88
SUC-096,Loja,Hogar,Tienda física,49.4,81.19,31.54,191.15
SUC-097,Cuenca,Hogar,Mixto,39.7,80.85,18.55,158.19
SUC-098,Loja,Hogar,Mixto,45.0,101.55,25.7,173.96
SUC-099,Loja,Vestuario,Tienda física,33.9,63.7,20.98,137.68
SUC-100,Cuenca,Hogar,Tienda física,50.3,95.63,27.7,198.12
SUC-101,Manta,Vestuario,Online,60.4,67.07,23.93,187.65
SUC-102,Loja,Tecnología,Tienda física,49.8,346.71,24.3,173.57
SUC-103,Guayaquil,Vestuario,Online,39.7,46.5,17.6,162.38
SUC-104,Quito,Alimentos,Mixto,24.5,23.25,18.18,147.28
SUC-105,Quito,Tecnología,Online,50.0,301.86,29.49,244.2
SUC-106,Loja,Alimentos,Tienda física,45.0,31.75,21.65,136.87
SUC-107,Loja,Hogar,Online,45.5,88.93,23.77,156.0
SUC-108,Guayaquil,Vestuario,Mixto,52.1,53.92,25.94,197.46
SUC-109,Loja,Vestuario,Tienda física,32.5,44.86,22.55,137.7
SUC-110,Loja,Vestuario,Tienda física,49.8,54.76,21.34,155.56
SUC-111,Cuenca,Hogar,Tienda física,58.8,88.22,26.41,196.07
SUC-112,Cuenca,Hogar,Mixto,35.4,93.37,20.96,143.77
SUC-113,Quito,Vestuario,Mixto,46.1,45.5,20.71,174.51
SUC-114,Guayaquil,Alimentos,Mixto,46.1,22.25,28.03,189.83
SUC-115,Manta,Hogar,Mixto,57.4,89.8,25.62,198.47
SUC-116,Loja,Vestuario,Tienda física,53.7,57.34,24.17,200.58
SUC-117,Quito,Tecnología,Tienda física,67.4,219.89,28.91,217.84
SUC-118,Loja,Alimentos,Tienda física,66.1,27.0,26.31,213.09
SUC-119,Loja,Hogar,Tienda física,31.3,111.51,11.39,93.03
SUC-120,Cuenca,Alimentos,Tienda física,39.3,20.88,18.22,149.37
SUC-121,Manta,Tecnología,Tienda física,28.1,319.26,14.78,108.85
SUC-122,Manta,Alimentos,Online,53.4,18.89,29.77,172.53
SUC-123,Quito,Alimentos,Tienda física,21.4,15.34,14.48,102.7
SUC-124,Manta,Alimentos,Online,30.7,26.03,15.88,129.68
SUC-125,Guayaquil,Vestuario,Tienda física,59.0,56.64,21.15,189.23
SUC-126,Cuenca,Hogar,Online,73.4,123.95,33.25,254.75
SUC-127,Manta,Tecnología,Tienda física,44.8,301.44,21.72,160.7
SUC-128,Quito,Alimentos,Tienda física,53.2,21.41,29.1,179.77
SUC-129,Guayaquil,Tecnología,Mixto,29.1,357.37,15.23,118.29
SUC-130,Loja,Hogar,Mixto,73.3,100.07,29.27,237.23
SUC-131,Cuenca,Alimentos,Online,31.0,25.58,18.85,136.39
SUC-132,Manta,Tecnología,Mixto,65.9,230.53,26.94,216.7
SUC-133,Guayaquil,Hogar,Tienda física,52.5,111.7,33.05,216.71
SUC-134,Loja,Vestuario,Mixto,39.8,53.99,17.57,182.39
SUC-135,Cuenca,Hogar,Tienda física,53.0,89.4,23.41,176.29
SUC-136,Guayaquil,Tecnología,Mixto,29.9,310.96,21.46,159.72
SUC-137,Manta,Tecnología,Tienda física,39.8,317.61,20.34,131.16
SUC-138,Manta,Alimentos,Online,36.3,21.64,17.8,128.77
SUC-139,Loja,Tecnología,Tienda física,27.5,335.74,10.87,91.42
SUC-140,Guayaquil,Alimentos,Online,30.7,30.88,21.15,136.56
